founder_id,founder_age,founder_gender,years_with_startup,founder_role,monthly_revenue_generated,work_life_balance_rating,venture_satisfaction,startup_performance_rating,funding_rounds_led,working_overtime,distance_from_investor_hub,education_background,personal_status,num_dependents,startup_stage,team_size_category,years_since_founding,remote_operations,leadership_scope,innovation_support,startup_reputation,founder_visibility,retention_status
33239,57,Female,42,Healthcare,9186.0,Poor,High,Average,0,No,50,Bachelor’s Degree,Married,0.0,Senior,Large,107.0,No,No,No,Good,High,Stayed
68759,31,Male,12,Education,4394.0,Fair,High,Below Average,1,Yes,65,Associate Degree,Married,3.0,Mid,Medium,18.0,Yes,No,Yes,Good,Medium,Stayed
54111,50,Female,20,Technology,7580.0,Good,High,Low,0,Yes,97,Master’s Degree,Married,0.0,Mid,Medium,39.0,No,No,No,Poor,Low,Left
58069,38,Male,19,Education,3545.0,,,Below Average,0,No,16,Master’s Degree,Married,,Mid,,,Yes,No,No,Good,Medium,Stayed
16834,45,Female,11,Education,,,,Average,0,Yes,24,Associate Degree,Married,,Entry,,,No,No,No,Excellent,Very High,Left
23395,39,Female,5,Finance,9659.0,Excellent,Medium,Average,2,Yes,34,Master’s Degree,Single,4.0,Entry,Medium,77.0,No,No,No,Good,High,Left
2112,55,Male,27,Education,4317.0,Good,High,Average,1,No,94,High School,Married,0.0,Mid,Small,73.0,No,No,No,Good,Medium,Stayed
63739,45,Male,7,Healthcare,7305.0,Excellent,Low,Below Average,0,Yes,43,Associate Degree,Single,1.0,Mid,Medium,46.0,No,No,No,Fair,High,Left
59593,33,Male,25,Finance,9228.0,Fair,Very High,Low,0,Yes,37,Associate Degree,Married,2.0,Mid,Small,93.0,No,No,Yes,Good,High,Left
70544,54,Female,35,Technology,10275.0,Poor,High,Average,2,No,5,Bachelor’s Degree,Married,2.0,Senior,Small,105.0,No,No,Yes,Excellent,High,Stayed
61524,34,Male,25,Technology,10569.0,Fair,High,Average,3,No,86,Master’s Degree,Divorced,0.0,Senior,Small,39.0,No,No,No,Excellent,Low,Stayed
68206,45,Male,12,Technology,10699.0,Good,Very High,Average,1,No,97,High School,Married,1.0,Mid,Small,43.0,No,No,No,Excellent,High,Stayed
66639,32,Male,18,Technology,9466.0,Fair,High,Average,0,No,26,Bachelor’s Degree,Divorced,1.0,Entry,Small,61.0,No,No,No,Good,Low,Left
33501,37,Male,5,Finance,5471.0,Fair,Low,High,3,No,76,Associate Degree,Married,1.0,Entry,Small,52.0,No,No,No,Good,Very High,Stayed
19638,53,Female,42,Media,5833.0,Excellent,Medium,High,0,No,68,Associate Degree,Married,0.0,Mid,Medium,64.0,No,No,Yes,Poor,Very High,Left
10472,30,Female,17,Education,5063.0,Fair,High,Average,1,No,15,Master’s Degree,Married,5.0,Senior,Small,46.0,No,No,No,Good,Low,Stayed
7772,45,Male,11,Technology,9348.0,Fair,High,Average,0,No,92,Associate Degree,Married,1.0,Entry,Large,21.0,No,No,No,Good,High,Stayed
31238,40,Male,15,Education,5292.0,Good,High,Average,1,No,73,High School,Married,4.0,Senior,Medium,68.0,No,No,No,Poor,Low,Stayed
59825,57,Male,41,Finance,7363.0,Good,Low,Below Average,0,Yes,35,High School,Single,5.0,Mid,Small,103.0,No,Yes,No,Good,Low,Stayed
6227,38,Female,20,Technology,9737.0,Excellent,High,Below Average,0,No,61,High School,Divorced,0.0,Entry,Small,45.0,No,No,No,Fair,Low,Stayed
16115,27,Male,16,Healthcare,8397.0,Good,High,High,2,No,53,Bachelor’s Degree,Married,4.0,Mid,Small,89.0,No,No,Yes,Fair,Low,Stayed
2675,39,Female,11,Media,6037.0,Excellent,Low,Average,2,No,3,Associate Degree,Single,1.0,Senior,Small,69.0,No,No,No,Fair,Low,Stayed
67910,32,Male,4,Healthcare,8682.0,Fair,High,Average,1,No,18,Bachelor’s Degree,Divorced,3.0,Mid,Small,62.0,No,No,No,Good,High,Stayed
19775,22,Male,10,Education,5983.0,Poor,Very High,Below Average,0,No,59,Bachelor’s Degree,Single,0.0,Entry,Medium,66.0,Yes,No,Yes,Poor,Low,Left
52041,28,Male,5,Education,5131.0,Excellent,Medium,Average,2,No,70,Associate Degree,Married,3.0,Mid,Large,43.0,No,No,No,Poor,Low,Left
139,32,Female,11,Education,4578.0,Excellent,Medium,Average,0,No,44,Master’s Degree,Single,4.0,Entry,Medium,29.0,No,No,Yes,Good,Medium,Left
6801,56,Male,7,Healthcare,7891.0,Poor,Very High,High,0,No,44,Bachelor’s Degree,Married,5.0,Entry,Medium,70.0,Yes,No,Yes,Good,Low,Stayed
27011,52,Female,33,Finance,8816.0,Fair,High,High,2,No,16,High School,Married,2.0,Mid,Medium,46.0,No,No,No,Poor,Low,Left
16418,35,Male,10,Healthcare,7322.0,Good,High,Below Average,0,No,93,Master’s Degree,Single,0.0,Mid,Medium,32.0,No,No,No,Good,Low,Left
56959,30,Female,1,Media,6101.0,Excellent,Very High,High,1,No,45,High School,Married,0.0,Senior,Medium,31.0,Yes,No,No,Excellent,Low,Stayed
12318,37,Male,25,Finance,10548.0,Good,Low,High,0,No,39,Bachelor’s Degree,Single,2.0,Senior,Large,72.0,No,No,No,Good,High,Left
31132,38,Male,3,Media,5710.0,Fair,Very High,Average,2,Yes,77,High School,Married,2.0,Mid,Large,66.0,Yes,No,No,Poor,Low,Left
40810,56,Female,38,Healthcare,10050.0,Fair,High,Average,0,Yes,44,Bachelor’s Degree,Married,0.0,Entry,Large,46.0,No,No,No,Fair,High,Stayed
32544,47,Male,18,Technology,11884.0,Excellent,Low,High,0,No,15,Bachelor’s Degree,Divorced,4.0,Senior,Small,96.0,No,No,No,Good,Medium,Stayed
28305,35,Female,17,Finance,8201.0,Excellent,High,Average,0,No,34,Bachelor’s Degree,Single,3.0,Mid,Medium,88.0,Yes,No,Yes,Good,Low,Stayed
73684,49,Female,8,Finance,8991.0,Good,Medium,High,0,No,12,Bachelor’s Degree,Married,0.0,Mid,Small,79.0,No,No,No,Good,Low,Stayed
28985,24,Female,8,Technology,9935.0,,,Below Average,0,No,30,Bachelor’s Degree,Married,,Mid,,,No,No,No,Poor,Medium,Left
59120,20,Male,8,Healthcare,9270.0,Good,Medium,High,1,No,62,PhD,Married,0.0,Entry,Large,19.0,No,No,No,Good,Low,Stayed
15927,27,Female,11,Education,,,,Average,0,No,1,Master’s Degree,Married,,Senior,,,No,No,Yes,Poor,Low,Left
71210,35,Male,18,Technology,5309.0,Good,Very High,Average,0,Yes,57,Associate Degree,Married,0.0,Entry,Medium,66.0,No,No,No,Fair,Low,Left
37297,21,Male,3,Healthcare,8030.0,,,Below Average,2,No,71,PhD,Married,1.0,Entry,Medium,64.0,No,No,No,Poor,Low,Left
48071,47,Female,14,Media,6462.0,Good,Medium,High,1,No,88,Bachelor’s Degree,Single,4.0,Entry,Medium,36.0,No,No,No,Good,Medium,Stayed
24830,53,Male,5,Healthcare,9889.0,Good,High,Low,1,No,13,Bachelor’s Degree,Married,2.0,Senior,Medium,46.0,No,No,No,Fair,Medium,Stayed
50529,32,Male,21,Education,5295.0,Good,Very High,Below Average,1,No,16,High School,Married,5.0,Mid,Large,70.0,No,No,No,Good,Medium,Stayed
73904,48,Female,24,Media,5654.0,,,Average,0,Yes,41,Master’s Degree,Married,,Entry,Medium,96.0,No,No,No,Excellent,Low,Stayed
22745,46,Male,36,Finance,7131.0,Good,High,Average,0,No,77,Associate Degree,Single,1.0,Mid,Medium,92.0,Yes,No,Yes,Good,Medium,Stayed
53656,23,Female,6,Healthcare,9424.0,Excellent,Medium,High,1,No,66,Bachelor’s Degree,Single,0.0,Entry,Medium,19.0,No,No,No,Poor,Low,Left
55581,39,Female,4,Technology,8969.0,Excellent,High,Average,0,Yes,82,Master’s Degree,Divorced,1.0,Mid,Medium,41.0,Yes,No,No,Good,High,Stayed
2525,54,Female,40,Technology,8140.0,,,High,0,No,85,Associate Degree,Single,0.0,Entry,Medium,96.0,No,No,No,Poor,Medium,Left
37706,51,Male,20,Media,6560.0,Good,Low,Below Average,1,Yes,71,Associate Degree,Single,1.0,Entry,Small,92.0,Yes,No,No,Poor,Very High,Left
3095,52,Male,40,Education,,,,High,0,No,62,Master’s Degree,Married,,Entry,,,Yes,No,No,Fair,Low,Stayed
28790,37,Female,1,Media,4621.0,Fair,Medium,Average,0,Yes,35,PhD,Single,0.0,Entry,Medium,49.0,Yes,No,No,Good,Low,Left
40058,22,Female,10,Healthcare,7651.0,,High,Average,0,Yes,93,Associate Degree,Single,2.0,Entry,Large,88.0,No,No,No,Poor,Low,Left
72333,27,Male,16,Healthcare,8311.0,Excellent,Medium,Below Average,2,No,11,PhD,Married,0.0,Mid,Large,88.0,Yes,No,No,Fair,Low,Stayed
12369,42,Male,34,Technology,10261.0,Excellent,High,Below Average,0,No,69,Associate Degree,Married,0.0,Entry,Medium,99.0,No,No,No,Poor,Low,Left
60046,37,Male,27,Education,3606.0,Fair,High,Below Average,0,No,46,Associate Degree,Married,0.0,Mid,Medium,58.0,Yes,No,No,Fair,Low,Stayed
47579,54,Male,14,Finance,8753.0,Good,High,Average,1,Yes,43,Bachelor’s Degree,Single,3.0,Mid,Large,54.0,Yes,No,No,Poor,Medium,Stayed
38464,44,Female,9,Finance,9514.0,Excellent,High,High,2,No,4,PhD,Single,1.0,Mid,Medium,82.0,No,No,No,Poor,Medium,Left
73233,32,Male,12,Education,4632.0,Fair,High,Average,2,Yes,56,Bachelor’s Degree,Married,4.0,Mid,Medium,55.0,Yes,No,No,Good,Low,Stayed
8482,21,Male,10,Healthcare,8585.0,Poor,Very High,High,1,No,94,PhD,Single,5.0,Mid,Large,35.0,No,No,Yes,Excellent,Medium,Left
56128,24,Female,11,Healthcare,,,,High,3,Yes,41,Associate Degree,Married,,Entry,,,No,No,No,Good,Low,Stayed
39492,25,Male,12,Healthcare,7391.0,Fair,High,Average,2,Yes,22,Bachelor’s Degree,Married,4.0,Entry,Medium,69.0,No,No,No,Good,High,Stayed
2101,38,Male,11,Education,,,,Average,0,Yes,83,PhD,Single,,Entry,,,No,No,No,Poor,Low,Left
29295,20,Female,7,Healthcare,7674.0,Good,High,Average,1,No,20,Associate Degree,Married,3.0,Mid,Small,21.0,No,No,No,Fair,Medium,Stayed
47810,30,Male,12,Technology,9759.0,Excellent,High,Average,0,No,20,Associate Degree,Married,2.0,Mid,Small,29.0,No,No,No,Good,Very High,Stayed
62121,50,Male,9,Healthcare,9446.0,Fair,High,High,1,No,76,Bachelor’s Degree,Married,1.0,Mid,Medium,85.0,No,Yes,Yes,Fair,Medium,Left
63672,27,Male,6,Media,6059.0,,Very High,Average,0,No,48,Master’s Degree,Married,3.0,Mid,Medium,59.0,No,No,Yes,Good,Medium,Stayed
48950,33,Male,1,Technology,7609.0,Good,Medium,Average,2,No,48,Associate Degree,Married,3.0,Mid,Medium,25.0,No,No,No,Good,High,Stayed
33450,28,Male,2,Finance,9331.0,Fair,High,Average,0,No,57,Associate Degree,Divorced,1.0,Mid,Medium,40.0,No,No,Yes,Poor,Very High,Left
55897,29,Male,17,Education,4766.0,,,Average,1,No,11,Bachelor’s Degree,Married,3.0,Mid,Medium,76.0,No,No,Yes,Fair,Low,Stayed
59058,30,Male,20,Healthcare,7767.0,Fair,Very High,Average,0,Yes,73,Bachelor’s Degree,Single,1.0,Entry,Small,88.0,No,No,No,Good,Medium,Left
37120,45,Female,4,Technology,11125.0,Good,High,Low,0,Yes,75,High School,Single,5.0,Entry,Large,5.0,No,No,No,Fair,High,Left
3312,22,Male,5,Finance,8876.0,Good,High,Below Average,3,Yes,4,Associate Degree,Married,4.0,Entry,Small,73.0,No,No,No,Good,Low,Stayed
13402,46,Male,35,Education,5357.0,Fair,Very High,Below Average,2,No,24,High School,Married,0.0,Entry,Large,80.0,No,No,No,Poor,Medium,Left
66295,31,Female,8,Technology,9050.0,Excellent,High,Average,3,Yes,76,Bachelor’s Degree,Married,4.0,Mid,Large,64.0,No,No,No,Fair,Medium,Left
3330,20,Male,3,Technology,7969.0,Good,Medium,Average,2,Yes,24,Bachelor’s Degree,Married,0.0,Senior,Medium,33.0,No,No,No,Poor,Medium,Stayed
60334,56,Male,43,Finance,9072.0,Poor,Very High,Average,0,No,27,Associate Degree,Married,0.0,Mid,Large,95.0,No,No,No,Good,Very High,Stayed
7596,19,Male,1,Healthcare,7990.0,Good,High,Average,0,Yes,44,High School,Married,5.0,Entry,Medium,29.0,No,No,No,Good,Low,Stayed
46356,32,Female,18,Education,4548.0,Poor,Medium,High,0,Yes,82,Associate Degree,Single,0.0,Entry,Large,33.0,No,No,No,Good,Low,Left
3544,23,Male,1,Technology,10679.0,Fair,Medium,Below Average,1,No,64,Associate Degree,Married,4.0,Entry,Medium,10.0,No,No,Yes,Poor,Medium,Left
3161,21,Female,8,Finance,8996.0,Fair,Very High,Below Average,3,Yes,15,Bachelor’s Degree,Married,1.0,Entry,Small,17.0,Yes,No,No,Good,Low,Stayed
64500,37,Male,22,Finance,10080.0,Poor,High,Average,0,No,21,Bachelor’s Degree,Married,1.0,Mid,Medium,69.0,No,No,No,Good,Medium,Left
70593,36,Female,8,Healthcare,8520.0,Fair,Very High,Average,1,Yes,61,Master’s Degree,Married,1.0,Entry,Medium,21.0,Yes,No,No,Fair,High,Left
13988,30,Male,1,Healthcare,8187.0,Fair,High,High,3,No,81,High School,Married,4.0,Entry,Small,31.0,Yes,No,Yes,Good,Low,Stayed
71986,18,Female,1,Education,5460.0,Good,High,High,2,No,47,Associate Degree,Single,1.0,Entry,Small,54.0,No,No,Yes,Good,Low,Left
39041,55,Male,20,Technology,7664.0,Excellent,Medium,Average,2,No,56,PhD,Married,3.0,Mid,Medium,27.0,No,No,No,Fair,Low,Stayed
44159,58,Male,22,Healthcare,8867.0,Good,High,Average,1,No,83,Associate Degree,Married,0.0,Mid,Medium,94.0,No,No,No,Good,Low,Stayed
6600,49,Male,5,Finance,6304.0,Fair,Low,Average,0,No,63,Associate Degree,Divorced,4.0,Mid,Medium,12.0,No,No,No,Poor,High,Left
5343,38,Male,2,Media,5520.0,Fair,High,High,0,Yes,5,Master’s Degree,Single,5.0,Entry,Large,12.0,No,No,No,Good,High,Left
54912,53,Male,13,Healthcare,6257.0,Good,Medium,Below Average,2,No,51,Master’s Degree,Single,4.0,Entry,Small,72.0,No,No,No,Poor,Low,Left
71039,45,Female,15,Technology,10286.0,Poor,Low,Below Average,0,No,77,Associate Degree,Married,1.0,Senior,Medium,29.0,No,No,No,Poor,Medium,Stayed
39891,48,Male,25,Finance,8492.0,Good,High,Average,1,No,87,High School,Married,5.0,Senior,Medium,45.0,No,No,No,Good,Low,Stayed
70178,44,Male,11,Finance,10431.0,Poor,Low,Below Average,0,No,18,High School,Married,0.0,Entry,Medium,26.0,No,No,No,Good,High,Left
4632,59,Male,5,Technology,12835.0,Fair,High,High,1,Yes,33,High School,Married,3.0,Entry,Small,46.0,No,No,No,Fair,Low,Left
33652,59,Female,2,Healthcare,7025.0,Excellent,Medium,High,1,No,12,Bachelor’s Degree,Single,1.0,Mid,Large,10.0,Yes,No,No,Good,Low,Stayed
56832,20,Female,4,Technology,10252.0,Good,High,Average,0,No,15,Bachelor’s Degree,Single,3.0,Mid,Small,80.0,No,No,No,Fair,Medium,Stayed
46615,27,Female,11,Technology,10330.0,Good,High,Average,1,No,12,Bachelor’s Degree,Married,1.0,Mid,Medium,62.0,No,No,No,Good,Low,Stayed
24909,25,Male,12,Finance,10627.0,Fair,High,Average,1,No,15,Master’s Degree,Divorced,3.0,Entry,Medium,69.0,No,No,Yes,Fair,Medium,Left
34172,47,Female,12,Finance,7632.0,Good,High,High,1,No,11,Associate Degree,Single,2.0,Mid,Medium,24.0,Yes,No,No,Good,Low,Stayed
72942,58,Male,34,Education,4244.0,Excellent,Low,Below Average,0,No,85,Associate Degree,Married,6.0,Mid,Large,80.0,No,No,Yes,Excellent,Low,Left
74258,35,Female,27,Technology,9679.0,Excellent,High,Average,0,No,18,Bachelor’s Degree,Single,2.0,Senior,Small,75.0,No,No,No,Good,Low,Stayed
22524,31,Female,2,Media,6191.0,Fair,High,Average,0,No,24,High School,Married,1.0,Mid,Large,57.0,Yes,No,No,Good,Low,Stayed
73558,21,Male,9,Media,6298.0,,,Below Average,1,No,8,Bachelor’s Degree,Single,1.0,Entry,Medium,88.0,Yes,No,No,Good,High,Left
53685,54,Female,24,Education,4377.0,Excellent,Low,Average,1,No,21,Bachelor’s Degree,Single,0.0,Mid,Small,100.0,No,No,No,Poor,Medium,Left
68896,47,Female,15,Education,3490.0,Good,High,Average,1,No,57,Bachelor’s Degree,Divorced,2.0,Senior,Medium,64.0,Yes,No,Yes,Good,Low,Stayed
72212,45,Male,18,Education,3376.0,,,Average,0,No,82,Bachelor’s Degree,Single,,Mid,Medium,62.0,No,No,No,Good,Low,Left
5913,21,Male,13,Education,5529.0,Poor,High,Average,2,Yes,34,Master’s Degree,Single,3.0,Senior,Large,64.0,No,No,No,Fair,High,Stayed
2521,27,Female,17,Healthcare,7463.0,Good,High,Average,0,Yes,31,High School,Divorced,0.0,Entry,Large,84.0,No,No,No,Good,Medium,Stayed
28377,42,Female,2,Finance,8988.0,Good,Very High,Average,1,Yes,89,Associate Degree,Divorced,0.0,Mid,Small,72.0,No,No,No,Poor,Very High,Left
71810,32,Female,3,Healthcare,9540.0,,,High,2,No,98,Master’s Degree,Married,,Entry,Medium,,No,Yes,No,Good,High,Stayed
20865,55,Male,24,Technology,9986.0,Fair,Medium,Low,0,Yes,77,High School,Single,0.0,Mid,Small,47.0,No,No,No,Good,High,Left
34768,56,Female,40,Media,5626.0,Excellent,Very High,Average,1,No,6,Bachelor’s Degree,Divorced,0.0,Entry,Medium,72.0,No,No,Yes,Good,Medium,Left
44360,33,Male,11,Education,4246.0,Good,Low,Average,0,No,2,Bachelor’s Degree,Married,1.0,Entry,Small,49.0,No,No,No,Poor,Medium,Stayed
42934,40,Male,6,Technology,11034.0,Excellent,High,Average,0,No,29,Associate Degree,Married,1.0,Senior,Medium,63.0,No,No,Yes,Fair,High,Stayed
23592,42,Male,20,Media,5650.0,Fair,Medium,Average,1,Yes,92,Bachelor’s Degree,Married,3.0,Entry,Small,61.0,No,No,No,Fair,Low,Left
1595,18,Male,6,Technology,10064.0,Poor,High,Average,0,No,22,Associate Degree,Single,3.0,Mid,Large,36.0,Yes,No,No,Excellent,High,Left
36680,31,Male,17,Finance,8698.0,Excellent,High,Below Average,1,Yes,58,Bachelor’s Degree,Married,1.0,Mid,Medium,52.0,No,No,No,Good,Low,Stayed
16528,39,Female,4,Education,4015.0,Fair,Low,Low,0,No,71,Master’s Degree,Married,2.0,Senior,Small,65.0,No,No,No,Good,Medium,Left
44576,25,Male,5,Technology,8511.0,Excellent,Medium,Average,2,No,35,High School,Single,4.0,Entry,Large,16.0,No,No,No,Poor,High,Left
